PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,45 to 54,520,447.39978
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,55 to 64,252,215.31031
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,65 and over,40,25.7
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,All age bands,29539,28818.2516
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,Under 25,19,19.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,25 to 34,19166,18812.2446
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,35 to 44,9505,9163.48912
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,45 to 54,784,760.86788
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,55 to 64,61,58.75
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,65 and over,4,3.9
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,All age bands,8259,8188.26478
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,Under 25,122,121.8
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,25 to 34,6677,6631.32103
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,35 to 44,1248,1227.79375
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,45 to 54,186,183.5
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,55 to 64,26,23.85
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,All age bands,6365,6308.83665
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,Under 25,1296,1295.6
