PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
200909 to 201009,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Non AfC Grade,55 to 64,52,37.29525
200909 to 201009,Leavers,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Non AfC Grade,65 and over,11,5.65014
200909 to 201009,Leavers,Support to clinical staff,All staff groups,All grades,All age bands,33562,26407.6911
200909 to 201009,Leavers,Support to clinical staff,All staff groups,All grades,Under 25,5142,4546.06719
200909 to 201009,Leavers,Support to clinical staff,All staff groups,All grades,25 to 34,8395,6866.25068
200909 to 201009,Leavers,Support to clinical staff,All staff groups,All grades,35 to 44,5732,4394.78039
200909 to 201009,Leavers,Support to clinical staff,All staff groups,All grades,45 to 54,4818,3838.96105
200909 to 201009,Leavers,Support to clinical staff,All staff groups,All grades,55 to 64,7936,5802.62918
200909 to 201009,Leavers,Support to clinical staff,All staff groups,All grades,65 and over,1539,959.00261
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",All grades,All age bands,26481,20689.7957
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",All grades,Under 25,3810,3326.20896
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",All grades,25 to 34,6274,5052.65155
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",All grades,35 to 44,4594,3514.54913
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",All grades,45 to 54,3993,3194.06535
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",All grades,55 to 64,6535,4805.08783
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",All grades,65 and over,1275,797.23288
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 1,All age bands,698,426.60884
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 1,Under 25,157,82.71339
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 1,25 to 34,121,79.09273
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 1,35 to 44,98,55.4181
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 1,45 to 54,100,63.34376
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 1,55 to 64,185,124.68843
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 1,65 and over,37,21.35243
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 2,All age bands,13175,10002.39835
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 2,Under 25,2535,2212.40536
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 2,25 to 34,3074,2375.84564
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 2,35 to 44,2135,1584.80212
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 2,45 to 54,1880,1456.53508
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 2,55 to 64,2911,1996.47408
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 2,65 and over,640,376.33607
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 3,All age bands,7787,6203.0137
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 3,Under 25,802,727.54346
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 3,25 to 34,1809,1486.43415
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 3,35 to 44,1437,1122.97181
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 3,45 to 54,1281,1049.29929
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 3,55 to 64,2102,1589.50737
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 3,65 and over,356,227.25762
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 4,All age bands,3290,2691.96309
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 4,Under 25,191,177.78899
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 4,25 to 34,869,734.30621
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 4,35 to 44,621,487.02883
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 4,45 to 54,455,381.14554
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 4,55 to 64,960,773.73872
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 4,65 and over,194,137.9548
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 5,All age bands,670,601.30899
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 5,Under 25,42,41.45334
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 5,25 to 34,197,182.05878
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 5,35 to 44,129,112.28829
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 5,45 to 54,109,98.9009
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 5,55 to 64,174,152.83912
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 5,65 and over,19,13.76856
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 6,All age bands,334,288.07968
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 6,Under 25,12,11.0
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 6,25 to 34,121,109.02829
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 6,35 to 44,74,61.38759
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 6,45 to 54,68,59.49447
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 6,55 to 64,54,43.37185
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 6,65 and over,5,3.79748
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 7,All age bands,105,92.06529
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 7,25 to 34,28,24.53811
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 7,35 to 44,27,23.05546
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 7,45 to 54,23,20.63333
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 7,55 to 64,27,23.83839
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8a,All age bands,22,20.14666
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8a,Under 25,1,1.0
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8a,25 to 34,3,2.24
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8a,35 to 44,6,5.77333
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8a,45 to 54,9,8.33333
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8a,55 to 64,3,2.8
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8b,All age bands,19,17.40077
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8b,25 to 34,2,2.0
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8b,35 to 44,9,7.93243
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8b,45 to 54,2,2.04167
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8b,55 to 64,6,5.42667
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8c,All age bands,3,2.8
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8c,25 to 34,1,1.0
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 8c,35 to 44,2,1.8
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 9,All age bands,1,0.8
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Band 9,35 to 44,1,0.8
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Non AfC Grade,All age bands,446,343.21033
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Non AfC Grade,Under 25,78,72.30442
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Non AfC Grade,25 to 34,70,56.10764
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Non AfC Grade,35 to 44,69,51.29117
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Non AfC Grade,45 to 54,77,54.33798
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Non AfC Grade,55 to 64,127,92.4032
200909 to 201009,Leavers,Support to clinical staff,"Support to doctors, nurses & midwives",Non AfC Grade,65 and over,25,16.76592
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,All grades,All age bands,1025,873.00065
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,All grades,Under 25,126,117.07752
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,All grades,25 to 34,236,207.26281
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,All grades,35 to 44,206,175.93616
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,All grades,45 to 54,122,104.41667
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,All grades,55 to 64,263,219.85896
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,All grades,65 and over,72,48.44853
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 1,All age bands,33,13.13681
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 1,Under 25,3,2.8
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 1,25 to 34,2,0.42667
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 1,35 to 44,7,1.93333
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 1,45 to 54,5,1.8
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 1,55 to 64,12,4.39014
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 1,65 and over,4,1.78667
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 2,All age bands,179,129.5784
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 2,Under 25,16,11.01121
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 2,25 to 34,20,13.34666
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 2,35 to 44,31,21.68186
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 2,45 to 54,19,13.73333
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 2,55 to 64,64,50.54748
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 2,65 and over,29,19.25786
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 3,All age bands,611,541.99417
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 3,Under 25,84,81.17947
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 3,25 to 34,140,125.57602
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 3,35 to 44,126,113.56667
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 3,45 to 54,72,63.95334
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 3,55 to 64,155,134.03467
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 3,65 and over,34,23.684
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 4,All age bands,119,108.72166
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 4,Under 25,11,10.07333
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 4,25 to 34,46,41.235
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 4,35 to 44,23,22.14666
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 4,45 to 54,17,16.18
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 4,55 to 64,19,17.42
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 4,65 and over,3,1.66667
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 5,All age bands,55,53.0288
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 5,Under 25,11,11.0
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 5,25 to 34,24,23.14
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 5,35 to 44,13,11.8888
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 5,45 to 54,3,3.0
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 5,55 to 64,4,4.0
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 6,All age bands,13,10.79884
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 6,25 to 34,1,1.0
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 6,35 to 44,5,3.71884
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 6,45 to 54,2,2.0
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 6,55 to 64,4,3.46667
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 6,65 and over,1,0.61333
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 7,All age bands,1,1.0
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Band 7,25 to 34,1,1.0
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Non AfC Grade,All age bands,16,14.74197
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Non AfC Grade,Under 25,1,1.01351
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Non AfC Grade,25 to 34,2,1.53846
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Non AfC Grade,35 to 44,1,1.0
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Non AfC Grade,45 to 54,4,3.75
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Non AfC Grade,55 to 64,6,6.0
200909 to 201009,Leavers,Support to clinical staff,Support to ambulance staff,Non AfC Grade,65 and over,2,1.44
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,All grades,All age bands,6083,4844.89475
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,All grades,Under 25,1208,1102.78071
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,All grades,25 to 34,1898,1606.33632
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,All grades,35 to 44,936,704.2951
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,All grades,45 to 54,707,540.47903
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,All grades,55 to 64,1142,777.68239
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,All grades,65 and over,192,113.3212
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 1,All age bands,129,119.93534
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 1,Under 25,92,91.04
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 1,25 to 34,11,9.82667
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 1,35 to 44,10,8.52267
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 1,45 to 54,3,2.6
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 1,55 to 64,12,7.73267
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 1,65 and over,1,0.21333
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 2,All age bands,2326,1716.29811
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 2,Under 25,526,458.27993
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 2,25 to 34,565,428.14921
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 2,35 to 44,359,247.30222
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 2,45 to 54,304,220.64259
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 2,55 to 64,471,305.33242
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 2,65 and over,101,56.59174
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 3,All age bands,1683,1304.73885
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 3,Under 25,253,228.65884
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 3,25 to 34,487,389.52785
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 3,35 to 44,290,217.84345
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 3,45 to 54,226,176.33828
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 3,55 to 64,375,259.12461
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 3,65 and over,52,33.24582
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 4,All age bands,785,647.79359
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 4,Under 25,114,106.04668
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 4,25 to 34,260,225.92166
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 4,35 to 44,129,104.43129
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 4,45 to 54,89,71.79336
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 4,55 to 64,175,128.32833
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 4,65 and over,18,11.27227
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 5,All age bands,420,377.81789
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 5,Under 25,108,105.34479
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 5,25 to 34,194,180.32522
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 5,35 to 44,52,43.05304
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 5,45 to 54,23,18.74361
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 5,55 to 64,34,24.39645
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 5,65 and over,9,5.95478
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 6,All age bands,481,450.39735
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 6,Under 25,31,30.02667
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 6,25 to 34,321,315.78111
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 6,35 to 44,65,54.83518
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 6,45 to 54,38,32.44811
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 6,55 to 64,24,16.61961
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 6,65 and over,2,0.68667
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 7,All age bands,40,31.40889
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 7,Under 25,1,1.0
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 7,25 to 34,16,14.45333
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 7,35 to 44,9,8.0
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 7,45 to 54,2,0.85722
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 7,55 to 64,11,6.59167
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 7,65 and over,1,0.50667
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 8a,All age bands,8,6.2
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 8a,25 to 34,2,2.0
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 8a,45 to 54,2,1.8
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Band 8a,55 to 64,4,2.4
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Non AfC Grade,All age bands,219,190.30473
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Non AfC Grade,Under 25,84,82.3838
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Non AfC Grade,25 to 34,45,40.35127
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Non AfC Grade,35 to 44,25,20.30725
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Non AfC Grade,45 to 54,20,15.25586
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Non AfC Grade,55 to 64,37,27.15663
200909 to 201009,Leavers,Support to clinical staff,Support to ST&T staff,Non AfC Grade,65 and over,8,4.84992
200909 to 201009,Leavers,NHS infrastructure support,All staff groups,All grades,All age bands,20639,16706.06354
200909 to 201009,Leavers,NHS infrastructure support,All staff groups,All grades,Under 25,2506,1974.63243
200909 to 201009,Leavers,NHS infrastructure support,All staff groups,All grades,25 to 34,4626,3912.84672
200909 to 201009,Leavers,NHS infrastructure support,All staff groups,All grades,35 to 44,3765,3080.69595
200909 to 201009,Leavers,NHS infrastructure support,All staff groups,All grades,45 to 54,3526,2952.75886
200909 to 201009,Leavers,NHS infrastructure support,All staff groups,All grades,55 to 64,5222,4135.54701
200909 to 201009,Leavers,NHS infrastructure support,All staff groups,All grades,65 and over,994,649.58257
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,All grades,All age bands,1009,937.81138
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,All grades,Under 25,1,1.0
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,All grades,25 to 34,101,93.21957
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,All grades,35 to 44,246,228.21142
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,All grades,45 to 54,347,327.31659
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,All grades,55 to 64,291,269.09832
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,All grades,65 and over,23,18.96548
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 7,All age bands,53,47.39466
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 7,25 to 34,16,15.13333
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 7,35 to 44,8,7.33333
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 7,45 to 54,13,11.568
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 7,55 to 64,15,12.36
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 7,65 and over,1,1.0
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8a,All age bands,135,126.08089
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8a,25 to 34,24,23.64865
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8a,35 to 44,45,40.7529
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8a,45 to 54,34,31.84666
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8a,55 to 64,32,29.83268
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8b,All age bands,171,157.83792
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8b,25 to 34,21,19.93333
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8b,35 to 44,44,40.71449
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8b,45 to 54,54,52.91
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8b,55 to 64,50,43.11343
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8b,65 and over,2,1.16667
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8c,All age bands,167,162.28642
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8c,25 to 34,19,17.78666
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8c,35 to 44,41,39.98378
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8c,45 to 54,57,55.73091
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8c,55 to 64,47,45.90667
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8c,65 and over,3,2.8784
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8d,All age bands,116,109.5606
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8d,25 to 34,7,6.5
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8d,35 to 44,37,35.02273
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8d,45 to 54,41,40.2192
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8d,55 to 64,30,27.72667
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 8d,65 and over,1,0.092
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 9,All age bands,36,34.58667
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 9,25 to 34,2,2.0
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 9,35 to 44,13,12.3
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 9,45 to 54,13,13.0
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 9,55 to 64,7,6.78667
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Band 9,65 and over,1,0.5
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Non AfC Grade,All age bands,153,137.3069
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Non AfC Grade,Under 25,1,1.0
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Non AfC Grade,25 to 34,6,3.5149
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Non AfC Grade,35 to 44,20,17.25357
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Non AfC Grade,45 to 54,61,55.06948
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Non AfC Grade,55 to 64,52,49.14054
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Non AfC Grade,65 and over,13,11.32841
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Very Senior Manager,All age bands,179,162.75732
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Very Senior Manager,25 to 34,6,4.7027
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Very Senior Manager,35 to 44,38,34.85062
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Very Senior Manager,45 to 54,74,66.97234
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Very Senior Manager,55 to 64,59,54.23166
200909 to 201009,Leavers,NHS infrastructure support,Senior managers,Very Senior Manager,65 and over,2,2.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,All grades,All age bands,2118,1938.31081
