PERIOD,TYPE,NHSE_REGION_CODE,NHSE_REGION_NAME,MAIN_STAFF_GROUP,STAFF_GROUP,HC,FTE
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,All staff groups,All staff groups,1159716,1008013.25573
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,All staff groups,600547,533577.05441
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - All grades,103238,96547.08027
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Consultant,38258,36269.57808
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,3711,3254.89724
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,5041,4199.72467
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Staff Grade,1420,1206.05305
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,29539,28818.2516
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Core Training,8259,8188.26478
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,6365,6308.83665
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,6147,6121.99943
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,3230,973.12479
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,1848,1206.34998
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Nurses & health visitors,315750,278891.64984
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Midwives,24042,19392.085
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Ambulance staff,18169,17440.85156
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",139883,121305.38774
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Support to clinical staff,All staff groups,343886,286940.2087
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Support to clinical staff,"Support to doctors, nurses & midwives",269582,223604.04822
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Support to clinical staff,Support to ambulance staff,14563,13289.68693
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Support to clinical staff,Support to ST&T staff,60289,50046.47355
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,NHS infrastructure support,All staff groups,213490,183878.8873
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,NHS infrastructure support,Senior managers,11447,11070.14125
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,NHS infrastructure support,Managers,25173,24052.72206
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,NHS infrastructure support,Central functions,103934,91806.83413
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,NHS infrastructure support,"Hotel, property & estates",73116,56949.18986
200909 to 201009,Denominator at end of period,All NHSE regions,All NHSE regions,Unknown classification,Unknown classification,4307,3617.10532
200909 to 201009,Denominator at end of period,Y56,London,All staff groups,All staff groups,173571,160032.91405
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,All staff groups,102481,95172.04622
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - All grades,21407,20175.77868
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Consultant,7593,7049.32478
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,650,555.15901
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,788,639.03337
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Staff Grade,208,180.18334
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,7854,7668.08337
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Core Training,1596,1576.25
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,1195,1170.91708
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,1060,1049.50668
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,322,121.8829
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,233,165.43815
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,Nurses & health visitors,49146,46064.67467
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,Midwives,4148,3623.80895
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,Ambulance staff,3173,3063.2855
200909 to 201009,Denominator at end of period,Y56,London,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",24681,22244.49842
200909 to 201009,Denominator at end of period,Y56,London,Support to clinical staff,All staff groups,43498,38956.26071
200909 to 201009,Denominator at end of period,Y56,London,Support to clinical staff,"Support to doctors, nurses & midwives",34299,30719.47571
200909 to 201009,Denominator at end of period,Y56,London,Support to clinical staff,Support to ambulance staff,1145,1085.74133
200909 to 201009,Denominator at end of period,Y56,London,Support to clinical staff,Support to ST&T staff,8099,7151.04367
200909 to 201009,Denominator at end of period,Y56,London,NHS infrastructure support,All staff groups,27133,25236.38308
200909 to 201009,Denominator at end of period,Y56,London,NHS infrastructure support,Senior managers,2012,1953.7252
200909 to 201009,Denominator at end of period,Y56,London,NHS infrastructure support,Managers,4692,4513.53302
200909 to 201009,Denominator at end of period,Y56,London,NHS infrastructure support,Central functions,14661,13463.99029
200909 to 201009,Denominator at end of period,Y56,London,NHS infrastructure support,"Hotel, property & estates",5790,5305.13457
200909 to 201009,Denominator at end of period,Y56,London,Unknown classification,Unknown classification,749,668.22404
200909 to 201009,Denominator at end of period,Y58,South West,All staff groups,All staff groups,118057,98992.72052
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,All staff groups,59942,51142.10386
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - All grades,9972,9064.17022
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Consultant,3743,3530.92067
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,449,372.87444
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,561,427.87695
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Staff Grade,151,105.03925
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,2577,2480.43475
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Core Training,730,722.07525
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,597,591.3
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,601,596.90025
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,442,103.0389
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,201,133.70976
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,Nurses & health visitors,31214,26238.8407
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,Midwives,2396,1841.03089
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,Ambulance staff,1972,1878.57766
200909 to 201009,Denominator at end of period,Y58,South West,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",14447,12119.48439
200909 to 201009,Denominator at end of period,Y58,South West,Support to clinical staff,All staff groups,36042,28998.44087
200909 to 201009,Denominator at end of period,Y58,South West,Support to clinical staff,"Support to doctors, nurses & midwives",27703,22095.71122
200909 to 201009,Denominator at end of period,Y58,South West,Support to clinical staff,Support to ambulance staff,1653,1447.18192
200909 to 201009,Denominator at end of period,Y58,South West,Support to clinical staff,Support to ST&T staff,6768,5455.54773
200909 to 201009,Denominator at end of period,Y58,South West,NHS infrastructure support,All staff groups,21917,18495.77002
200909 to 201009,Denominator at end of period,Y58,South West,NHS infrastructure support,Senior managers,1029,984.1947
200909 to 201009,Denominator at end of period,Y58,South West,NHS infrastructure support,Managers,2377,2247.37946
200909 to 201009,Denominator at end of period,Y58,South West,NHS infrastructure support,Central functions,10478,9064.73934
200909 to 201009,Denominator at end of period,Y58,South West,NHS infrastructure support,"Hotel, property & estates",8048,6199.45652
200909 to 201009,Denominator at end of period,Y58,South West,Unknown classification,Unknown classification,433,356.40577
200909 to 201009,Denominator at end of period,Y59,South East,All staff groups,All staff groups,154899,132574.72645
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,All staff groups,80540,70128.29724
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - All grades,14007,13033.18935
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Consultant,5209,4914.75223
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,629,538.83382
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,798,653.47892
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Staff Grade,168,138.24359
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,3734,3628.33848
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Core Training,1144,1135.61903
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,882,874.8375
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,879,878.0375
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,369,104.22014
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,246,166.82814
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,Nurses & health visitors,41521,35944.44819
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,Midwives,3493,2691.45575
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,Ambulance staff,2806,2637.13782
200909 to 201009,Denominator at end of period,Y59,South East,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",18814,15822.06613
200909 to 201009,Denominator at end of period,Y59,South East,Support to clinical staff,All staff groups,47752,39082.58561
200909 to 201009,Denominator at end of period,Y59,South East,Support to clinical staff,"Support to doctors, nurses & midwives",37813,30710.70785
200909 to 201009,Denominator at end of period,Y59,South East,Support to clinical staff,Support to ambulance staff,2038,1823.54323
200909 to 201009,Denominator at end of period,Y59,South East,Support to clinical staff,Support to ST&T staff,7971,6548.33453
200909 to 201009,Denominator at end of period,Y59,South East,NHS infrastructure support,All staff groups,26332,22881.05447
200909 to 201009,Denominator at end of period,Y59,South East,NHS infrastructure support,Senior managers,1446,1396.34282
200909 to 201009,Denominator at end of period,Y59,South East,NHS infrastructure support,Managers,3548,3366.29654
200909 to 201009,Denominator at end of period,Y59,South East,NHS infrastructure support,Central functions,12037,10515.28072
200909 to 201009,Denominator at end of period,Y59,South East,NHS infrastructure support,"Hotel, property & estates",9322,7603.13439
200909 to 201009,Denominator at end of period,Y59,South East,Unknown classification,Unknown classification,601,482.78913
200909 to 201009,Denominator at end of period,Y60,Midlands,All staff groups,All staff groups,215276,185226.04336
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,All staff groups,107979,95106.07427
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - All grades,16961,15785.13185
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Consultant,6395,6109.32372
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,678,600.47299
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,910,775.21943
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Staff Grade,237,206.59446
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,4521,4410.97425
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Core Training,1173,1159.8
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,1073,1066.2
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,1083,1079.264
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,610,150.50352
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,360,226.77948
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,Nurses & health visitors,58531,51277.29503
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,Midwives,4394,3465.34505
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,Ambulance staff,3363,3268.86165
200909 to 201009,Denominator at end of period,Y60,Midlands,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",24810,21309.44069
200909 to 201009,Denominator at end of period,Y60,Midlands,Support to clinical staff,All staff groups,65237,54154.07674
200909 to 201009,Denominator at end of period,Y60,Midlands,Support to clinical staff,"Support to doctors, nurses & midwives",50918,41931.78197
200909 to 201009,Denominator at end of period,Y60,Midlands,Support to clinical staff,Support to ambulance staff,3102,2940.7071
200909 to 201009,Denominator at end of period,Y60,Midlands,Support to clinical staff,Support to ST&T staff,11324,9281.58767
200909 to 201009,Denominator at end of period,Y60,Midlands,NHS infrastructure support,All staff groups,41608,35207.5782
200909 to 201009,Denominator at end of period,Y60,Midlands,NHS infrastructure support,Senior managers,1891,1839.07015
200909 to 201009,Denominator at end of period,Y60,Midlands,NHS infrastructure support,Managers,4965,4755.7239
200909 to 201009,Denominator at end of period,Y60,Midlands,NHS infrastructure support,Central functions,20140,17817.5267
200909 to 201009,Denominator at end of period,Y60,Midlands,NHS infrastructure support,"Hotel, property & estates",14650,10795.25745
200909 to 201009,Denominator at end of period,Y60,Midlands,Unknown classification,Unknown classification,918,758.31415
200909 to 201009,Denominator at end of period,Y61,East of England,All staff groups,All staff groups,112341,96789.64514
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,All staff groups,57973,51088.29799
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - All grades,9880,9318.65446
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Consultant,3734,3534.29528
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,396,356.73771
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,554,510.4768
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Staff Grade,196,171.73192
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,2369,2325.47016
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Core Training,893,888.525
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,688,685.08182
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,650,648.641
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,251,71.8489
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,204,125.84587
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,Nurses & health visitors,30425,26532.46271
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,Midwives,2367,1872.31301
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,Ambulance staff,1793,1701.86907
200909 to 201009,Denominator at end of period,Y61,East of England,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",13554,11662.99874
200909 to 201009,Denominator at end of period,Y61,East of England,Support to clinical staff,All staff groups,34342,28079.38544
200909 to 201009,Denominator at end of period,Y61,East of England,Support to clinical staff,"Support to doctors, nurses & midwives",26731,21701.03371
200909 to 201009,Denominator at end of period,Y61,East of England,Support to clinical staff,Support to ambulance staff,1613,1445.53648
200909 to 201009,Denominator at end of period,Y61,East of England,Support to clinical staff,Support to ST&T staff,6052,4932.81525
200909 to 201009,Denominator at end of period,Y61,East of England,NHS infrastructure support,All staff groups,19776,17218.08585
200909 to 201009,Denominator at end of period,Y61,East of England,NHS infrastructure support,Senior managers,1412,1359.42397
200909 to 201009,Denominator at end of period,Y61,East of England,NHS infrastructure support,Managers,2424,2309.88385
200909 to 201009,Denominator at end of period,Y61,East of England,NHS infrastructure support,Central functions,10387,9057.63581
200909 to 201009,Denominator at end of period,Y61,East of England,NHS infrastructure support,"Hotel, property & estates",5568,4491.14222
200909 to 201009,Denominator at end of period,Y61,East of England,Unknown classification,Unknown classification,470,403.87586
200909 to 201009,Denominator at end of period,Y62,North West,All staff groups,All staff groups,175924,153373.94414
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,All staff groups,88293,78956.59088
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - All grades,14386,13507.96943
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Consultant,5320,5072.25297
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,430,392.9904
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,679,571.43174
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Staff Grade,247,219.65
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,3972,3888.94509
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Core Training,1172,1166.58125
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,922,916.30025
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,857,855.7
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,528,209.44278
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,345,214.67495
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,Nurses & health visitors,48005,42680.18358
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,Midwives,3363,2739.22956
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,Ambulance staff,2602,2528.96048
200909 to 201009,Denominator at end of period,Y62,North West,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",20018,17500.24783
200909 to 201009,Denominator at end of period,Y62,North West,Support to clinical staff,All staff groups,51860,43466.10726
200909 to 201009,Denominator at end of period,Y62,North West,Support to clinical staff,"Support to doctors, nurses & midwives",40680,33954.55462
200909 to 201009,Denominator at end of period,Y62,North West,Support to clinical staff,Support to ambulance staff,2066,1859.53452
200909 to 201009,Denominator at end of period,Y62,North West,Support to clinical staff,Support to ST&T staff,9191,7652.01812
200909 to 201009,Denominator at end of period,Y62,North West,NHS infrastructure support,All staff groups,35596,30481.2231
200909 to 201009,Denominator at end of period,Y62,North West,NHS infrastructure support,Senior managers,1999,1933.07141
200909 to 201009,Denominator at end of period,Y62,North West,NHS infrastructure support,Managers,3584,3447.36388
200909 to 201009,Denominator at end of period,Y62,North West,NHS infrastructure support,Central functions,17578,15522.81388
200909 to 201009,Denominator at end of period,Y62,North West,NHS infrastructure support,"Hotel, property & estates",12472,9577.97393
200909 to 201009,Denominator at end of period,Y62,North West,Unknown classification,Unknown classification,558,470.0229
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,All staff groups,All staff groups,210310,181023.26207
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,All staff groups,103863,91983.64395
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - All grades,16834,15662.18628
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Consultant,6330,6058.70843
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,486,437.82887
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,752,622.20746
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Staff Grade,214,184.61049
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,4545,4416.0055
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Core Training,1551,1539.41425
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,1009,1004.2
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,1017,1013.95
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,713,212.18765
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,270,173.07363
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,Nurses & health visitors,57037,50153.74496
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,Midwives,3884,3158.90179
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,Ambulance staff,2463,2362.15938
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",23706,20646.65154
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Support to clinical staff,All staff groups,65203,54203.35207
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Support to clinical staff,"Support to doctors, nurses & midwives",51466,42490.78314
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Support to clinical staff,Support to ambulance staff,2946,2687.44235
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Support to clinical staff,Support to ST&T staff,10894,9025.12658
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,NHS infrastructure support,All staff groups,41138,34358.79258
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,NHS infrastructure support,Senior managers,1658,1604.313
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,NHS infrastructure support,Managers,3584,3412.54141
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,NHS infrastructure support,Central functions,18658,16364.84739
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,NHS infrastructure support,"Hotel, property & estates",17270,12977.09078
200909 to 201009,Denominator at end of period,Y63,North East and Yorkshire,Unknown classification,Unknown classification,579,477.47347
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,All staff groups,All staff groups,1149847,998155.56122
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,All staff groups,592986,526486.47154
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - All grades,101570,94847.61896
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Consultant,36705,34792.29541
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,3726,3269.79881
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,3960,3286.68633
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Staff Grade,2434,2089.76043
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,29914,29333.32695
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Core Training,7501,7435.8282
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,6154,6121.83073
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,6087,6068.0535
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,3740,1160.72313
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,HCHS doctors - Other HCHS Doctor Grades,1981,1289.31547
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Nurses & health visitors,314288,277435.74054
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Midwives,23432,18863.59309
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,Ambulance staff,17666,16986.88755
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",136558,118352.6314
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Support to clinical staff,All staff groups,339893,282809.71372
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Support to clinical staff,"Support to doctors, nurses & midwives",267757,221518.8562
200909 to 201009,Denominator at start of period,All NHSE regions,All NHSE regions,Support to clinical staff,Support to ambulance staff,14159,12925.82547
