DATE,PAYMENT_TYPE,STAFF_GROUP_ORDER,STAFF_GROUP,AFC_BAND,GRADE_STEP,AMOUNT,SAMPLE_SIZE
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,All AfC bands,All grade steps,3808.97,1355201
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 1,1,1962.04,32
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 1,2,1855.27,2322
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 1,All grade steps,1856.73,2354
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,1,2249.27,34501
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,2,2488.38,28665
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,3,2419.0,18862
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,4,2375.38,9981
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,5,2360.82,8663
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,6,2279.17,18287
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,7,2268.29,65838
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,All grade steps,2328.15,184594
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 2,Unknown,1800.4,14
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,1,2484.54,41617
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,2,2610.88,37618
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,3,2680.68,28328
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,4,2684.33,16522
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,5,2691.65,11061
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,6,2650.43,8545
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,7,2545.74,77335
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,All grade steps,2585.91,220901
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 3,Unknown,2313.8,13
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,1,2797.45,26966
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,2,2889.08,20802
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,3,2870.37,16582
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,4,3033.14,9418
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,5,3035.61,6256
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,6,3021.49,5695
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,7,2878.82,46367
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,All grade steps,2888.5,132045
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 4,Unknown,2463.8,14
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,1,3245.26,55101
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,2,3616.77,49919
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,3,3776.4,31648
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,4,3784.81,22167
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,5,4098.57,14788
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,6,4203.74,12885
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,7,4050.48,8155
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,8,3635.17,80197
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,All grade steps,3646.81,274804
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 5,Unknown,2967.23,15
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,1,4108.62,41220
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,2,4241.04,36757
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,3,4367.86,30115
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,4,4316.66,20246
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,5,4247.83,14307
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,6,4611.25,11147
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,7,4638.84,7121
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,8,4697.19,7029
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,9,4334.54,87545
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,All grade steps,4316.42,255289
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 6,Unknown,3701.73,17
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,1,4791.67,24858
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,2,4972.16,24180
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,3,5182.75,21682
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,4,5133.65,14931
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,5,5083.98,10656
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,6,5431.6,7974
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,7,5507.32,4673
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,8,5480.66,3977
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,9,5111.66,55501
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,All grade steps,5095.21,168224
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 7,Unknown,5499.9,10
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,1,5520.14,10598
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,2,5719.89,9905
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,3,5722.1,9111
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,4,5675.46,6282
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,5,5599.97,4063
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,6,5994.25,24672
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8a,All grade steps,5789.76,64533
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,1,6281.2,4000
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,2,6526.85,4005
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,3,6613.34,3675
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,4,6591.28,2292
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,5,6527.47,1436
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,6,7389.28,9267
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8b,All grade steps,6837.59,24650
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8c,1,7596.56,2065
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8c,2,7921.8,1886
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8c,3,8115.62,1791
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8c,4,7976.29,1151
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8c,5,7903.44,727
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8c,6,8859.66,4782
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8c,All grade steps,8275.33,12384
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8d,1,9063.13,864
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8d,2,9586.81,829
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8d,3,9650.03,811
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8d,4,9692.7,489
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8d,5,9635.14,337
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8d,6,10700.36,2409
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 8d,All grade steps,10008.91,5735
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 9,1,11012.6,498
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 9,2,11528.42,461
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 9,3,11743.18,403
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 9,4,11710.28,236
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 9,5,12118.22,133
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 9,6,12972.55,1443
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 9,All grade steps,12182.48,3180
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Band 9,Unknown,11417.38,10
2024-10-31,PUBGRP_020_EARNINGS,1,All staff groups,Non AfC band,Unknown,4629.26,15795
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,All AfC bands,All grade steps,4399.29,399464
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 4,1,2805.52,119
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 4,2,3192.96,25
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 4,3,3164.9,34
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 4,4,3196.05,18
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 4,7,3186.0,10
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 4,All grade steps,2983.1,218
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,1,3321.65,29631
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,2,3716.14,29767
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,3,3912.83,20111
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,4,3870.29,14895
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,5,4179.82,10363
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,6,4218.54,8569
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,7,4084.9,5793
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,8,3612.03,56479
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,All grade steps,3716.47,175583
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 5,Unknown,3312.76,11
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,1,4157.06,18893
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,2,4234.64,17517
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,3,4368.61,14806
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,4,4306.22,10369
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,5,4226.1,7066
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,6,4602.17,5182
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,7,4617.91,2780
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,8,4579.22,2487
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,9,4390.01,45318
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 6,All grade steps,4334.39,124345
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,1,4876.43,10099
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,2,5035.6,10137
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,3,5263.12,9556
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,4,5227.91,6527
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,5,5181.69,4663
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,6,5555.29,3316
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,7,5567.43,1712
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,8,5556.51,1585
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,9,5190.74,24626
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 7,All grade steps,5174.47,72179
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8a,1,5759.09,3318
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8a,2,5926.42,3240
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8a,3,5931.66,3136
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8a,4,5910.38,2158
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8a,5,5861.31,1495
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8a,6,6180.69,7276
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8a,All grade steps,5987.06,20613
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8b,1,6589.24,846
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8b,2,6750.03,918
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8b,3,6848.97,798
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8b,4,6883.14,443
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8b,5,6789.51,320
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8b,6,7379.29,1466
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8b,All grade steps,6954.32,4785
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8c,1,7862.83,364
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8c,2,8256.31,362
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8c,3,8311.33,373
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8c,4,8277.39,215
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8c,5,8184.09,126
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8c,6,8953.04,501
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8c,All grade steps,8374.89,1940
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8d,1,8983.29,139
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8d,2,9623.4,140
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8d,3,9725.97,151
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8d,4,9521.71,93
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8d,5,9424.15,52
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8d,6,10398.59,213
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 8d,All grade steps,9726.87,787
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 9,1,11061.2,92
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 9,2,11570.01,79
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 9,3,11651.38,71
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 9,4,11811.2,50
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 9,5,11094.31,17
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 9,6,12820.56,141
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Band 9,All grade steps,11907.34,450
2024-10-31,PUBGRP_020_EARNINGS,2,Nurses & health visitors,Non AfC band,Unknown,8018.39,716
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,All AfC bands,All grade steps,4199.8,29245
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 5,1,2791.55,1893
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 5,2,3379.11,868
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 5,3,3109.89,313
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 5,4,3499.54,200
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 5,5,3874.98,79
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 5,6,4245.45,129
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 5,7,4183.89,53
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 5,8,3873.8,192
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 5,All grade steps,3142.8,3726
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,1,4184.59,2392
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,2,4111.17,1935
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,3,4209.01,1364
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,4,4068.85,1179
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,5,3908.84,1063
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,6,4249.34,895
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,7,4328.09,871
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,8,4071.26,744
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,9,3867.98,8546
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 6,All grade steps,4024.45,18963
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,1,4313.55,966
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,2,4688.79,942
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,3,4932.79,871
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,4,4920.83,554
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,5,4980.05,400
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,6,5231.15,251
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,7,5111.99,124
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,8,5456.66,119
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,9,5146.21,2315
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 7,All grade steps,4916.26,6531
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8a,1,5592.57,85
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8a,2,5790.72,67
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8a,3,5975.1,65
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8a,4,5858.69,26
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8a,5,5611.51,25
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8a,6,6491.37,72
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8a,All grade steps,5916.82,340
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8b,1,6106.84,11
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8b,2,6134.11,15
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8b,3,6488.76,11
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8b,All grade steps,6582.52,54
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8c,All grade steps,8771.14,19
2024-10-31,PUBGRP_020_EARNINGS,3,Midwives,Band 8d,All grade steps,10010.76,11
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,All AfC bands,All grade steps,5257.5,22307
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 5,1,3663.78,2079
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 5,2,4179.35,1904
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 5,3,4165.49,458
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 5,4,4304.12,260
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 5,5,4820.06,84
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 5,6,5601.74,258
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 5,7,5067.74,33
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 5,8,4222.01,118
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 5,All grade steps,4065.64,5194
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,1,4910.45,1949
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,2,5039.31,1445
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,3,5190.44,1212
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,4,5260.79,997
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,5,5272.12,906
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,6,5704.1,526
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,7,5673.26,406
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,8,5724.27,1218
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,9,5426.03,4010
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 6,All grade steps,5307.91,12663
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,1,5830.24,605
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,2,5948.16,506
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,3,6174.77,509
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,4,6181.64,300
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,5,6257.84,233
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,6,6597.25,207
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,7,7063.68,247
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,8,6868.38,232
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,9,6671.09,970
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 7,All grade steps,6358.16,3801
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8a,1,6241.45,151
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8a,2,6351.97,78
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8a,3,6293.65,71
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8a,4,6191.97,46
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8a,5,6494.02,34
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8a,6,6695.09,126
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8a,All grade steps,6391.25,506
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8b,1,7022.97,20
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8b,2,7350.26,22
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8b,3,7088.32,11
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8b,5,7348.39,10
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8b,6,8669.02,46
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8b,All grade steps,7809.04,118
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8c,6,9405.5,13
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8c,All grade steps,9058.32,37
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Band 8d,All grade steps,10950.47,17
2024-10-31,PUBGRP_020_EARNINGS,4,Ambulance staff,Non AfC band,Unknown,4523.17,23
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",All AfC bands,All grade steps,4573.07,197503
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 4,1,2636.82,1042
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 4,2,2830.68,672
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 4,3,2716.62,495
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 4,4,2806.77,339
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 4,5,2841.84,223
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 4,6,2870.47,224
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 4,7,2523.15,2071
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 4,All grade steps,2657.1,5062
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 5,1,3025.38,10884
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 5,2,3423.56,8050
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 5,3,3526.14,3953
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 5,4,3506.22,2107
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 5,5,3752.83,1365
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 5,6,3754.61,1140
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 5,7,3741.85,779
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 5,8,3354.38,7731
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 5,All grade steps,3335.53,35997
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 6,1,3990.58,10657
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 6,2,4206.99,9201
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 6,3,4280.89,7015
2024-10-31,PUBGRP_020_EARNINGS,5,"Scientific, therapeutic & technical staff",Band 6,4,4205.39,4804
